Place of interest;Type of place;Place address;BiciMAD station;Station location
Instalación Deportiva Municipal Básica Luis Mitjans;Instalación deportiva;Calle Luis Mitjans 15;Valderribas;Calle Doctor Esquerdo nº 191
Instalación Deportiva Municipal Básica Lyon - Flandes;Instalación deportiva;Calle Lyon 136 (C/V Calle Flandes, 4 Posterior);Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Machupichu;Instalación deportiva;Avenida Machupichu 50;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Madrid - Las Tablas;Instalación deportiva;Calle Fromista 5;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Madrid Sur;Instalación deportiva;Calle Puerto De Velate 18;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Mallorca;Instalación deportiva;Calle Agastia  Esq. Juan Pérez De Zúñiga;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Manizales;Instalación deportiva;Calle Galapa 10 C/V Avda. Manizales;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Mar de Japón;Instalación deportiva;Calle Mar Del Japon 7;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Maracena;Instalación deportiva;Calle Maracena 1 C/V Moreja -Orcasur-;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Maris Stella;Instalación deportiva;Calle Doctor Tolosa Latour 18 Frente C. Informat. S.S.;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Martala I;Instalación deportiva;Calle Pico De Los Artilleros 5 Posterior;Marroquina;Calle Camino de los Vinateros nº 108
Instalación Deportiva Municipal Básica Maruja Mallo;Instalación deportiva;Avenida Maruja Mallo 7 C/V Conchita Montes;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica María Inmaculada;Instalación deportiva;Camino Cruces  Frente Condesa De Teba;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica María de Austria;Instalación deportiva;Parque Emperatriz María De Austria  Parque Sur;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica María de Villota;Instalación deportiva;Calle Estefanita 3;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Matilde Gayo;Instalación deportiva;Calle Matilde Gayo 4;Antonio López;Calle Eugenio Caxes frente al nº 12
Instalación Deportiva Municipal Básica Maíz;Instalación deportiva;Calle Ricardo Beltran Y Rozpide 28 Frente Calle Maíz;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Medio Amposta;Instalación deportiva;Calle Alberique  C/V Alconera;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Mercedes Arteaga;Instalación deportiva;Calle Mercedes Arteaga S/N C/V San Pantaleón;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Miguel Aracil;Instalación deportiva;Calle Joaquin Lorenzo 39;Facultad Derecho;Avenida Complutense nº 23
Instalación Deportiva Municipal Básica Miguel Hernández;Instalación deportiva;Avenida Miguel Hernandez S/N Frente Al 36-38;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Miguel Riesco;Instalación deportiva;Calle Miguel Riesco 7;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Miguel Riesco - Ramón Power;Instalación deportiva;Calle Miguel Riesco 1;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Miguel Yuste;Instalación deportiva;Calle Miguel Yuste  C/V Emilio Muñoz;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Minaya;Instalación deportiva;Calle Minaya 5;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Mirador de la Reina (Cerro Minguete);Instalación deportiva;Calle Mirador De La Reina 2 C/V Cerro Minguete;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Mirasierra;Instalación deportiva;Calle Nuria 83;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Molino;Instalación deportiva;Paseo Molino 2;Legazpi;Calle Bolívar nº 3
Instalación Deportiva Municipal Básica Mondariz;Instalación deportiva;Plaza Mondariz 1;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Monovar;Instalación deportiva;Calle Monovar 3;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Montalbos;Instalación deportiva;Calle Montalbos 14;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Montecarmelo;Instalación deportiva;Calle Monasterio De El Paular 138;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Montecarmelo McDonald´s;Instalación deportiva;Avenida Montecarmelo 1;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Mozart;Instalación deportiva;Calle Mozart S/N;Paseo de la Florida;Paseo de la Florida nº 8
Instalación Deportiva Municipal Básica Mártires Maristas;Instalación deportiva;Avenida Martires Maristas 2 C/V Antonio Machado;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Nevado de Cumbal;Instalación deportiva;Calle Nevado Del Cumbal 4;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Nicolasa Gómez;Instalación deportiva;Calle Nicolasa Gomez 1;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Novecento;Instalación deportiva;Calle Novecento 6;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Nuestra Señora de Loreto;Instalación deportiva;Calle Timon 16;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Nuestra Señora de la Paloma;Instalación deportiva;Carrera San Francisco 4;Plaza de los Carros;Carrera de San Francisco nº 1
Instalación Deportiva Municipal Básica Nueva Esperanza;Instalación deportiva;Calle Anoeta 1;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Ontanilla;Instalación deportiva;Avenida Los Poblados  C/V Ontanilla;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Orcasur;Instalación deportiva;Avenida Orcasur 53;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Orión-Jupiter;Instalación deportiva;Calle Orion 52;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Oscar y Jesús;Instalación deportiva;Calle Soledad Cazorla 22;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Oyarzun;Instalación deportiva;Plaza Oyarzun 1;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica P.A.R. Antonio López;Instalación deportiva;Calle Antonio Lopez 27;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica P.A.R. Avda. Marqués de Corbera;Instalación deportiva;Avenida Marques De Corbera 62;Marqués de Corbera 52;Avenida Marqués de Corbera nº 52
Instalación Deportiva Municipal Básica P.A.R. Ramón Gómez de la Serna;Instalación deportiva;Calle Ramon Gomez De La Serna 49;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica PAR Manuel Noya;Instalación deportiva;Calle Manuel Noya 2 Junto Puente Los Capuchinos;San Delfín;Calle San Delfín nº 9
Instalación Deportiva Municipal Básica PAR Rafaela Ybarra;Instalación deportiva;Avenida Rafaela Ybarra 51;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Pablo Casals;Instalación deportiva;Paseo Ermita Del Santo 10;Puerta del Ángel;Plaza Puerta del Ángel nº 4
Instalación Deportiva Municipal Básica Padre Claret;Instalación deportiva;Calle Padre Claret 18;Corazón de María;Calle Santa Hortensia nº 31
Instalación Deportiva Municipal Básica Padre Damián;Instalación deportiva;Calle Padre Damian 26;Alberto Alcocer;Avenida de Alberto Alcocer nº 22
Instalación Deportiva Municipal Básica Palomeras Bajas;Instalación deportiva;Calle Puerto De Balbaran S/N;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Parque Adelfas;Instalación deportiva;Calle Martinez Corrochano Esquina  Con Calle Luis Mitjans 26;Conde de Casal;Plaza del Conde de Casal nº 8
Instalación Deportiva Municipal Básica Parque Agustín Rodríguez Sahagún I;Instalación deportiva;Paseo Capitan Blanco Argibay S/N Parque A. Rodríguez Sahagún;Francos Rodríguez;Calle Francos Rodríguez nº 62
Instalación Deportiva Municipal Básica Parque Agustín Rodríguez Sahagún II;Instalación deportiva;Calle Sinesio Delgado 30;Torre Cepsa;Calle Sinesio Delgado nº 2
Instalación Deportiva Municipal Básica Parque Alfredo Kraus;Instalación deportiva;Calle Mar Adriatico 7;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Parque Aluche;Instalación deportiva;Calle Valmojado 4;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque Arroyo Fresno;Instalación deportiva;Avenida Ventisquero De La Condesa 43;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Parque Arroyo Pozuelo I;Instalación deportiva;Calle Arroyo De Pozuelo 10;Facultad Derecho;Avenida Complutense nº 23
Instalación Deportiva Municipal Básica Parque Boadilla;Instalación deportiva;Carretera Boadilla Del Monte 1;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque Breogán;Instalación deportiva;Avenida Brasilia 2;Avenida Brasilia;Avenida de Brasilia frente al nº 9
Instalación Deportiva Municipal Básica Parque Calle Onil;Instalación deportiva;Calle Navia 12 C/V Luis Chamizo;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque Caramuel;Instalación deportiva;Calle Sepulveda S/N;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque Cedral;Instalación deportiva;Calle Rodriguez Illanes S/N Esq. Arturo Soria, 233;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Parque Cerro Almodovar;Instalación deportiva;Parque Cerro Almodovar ;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque Cerro Almodóvar;Instalación deportiva;Calle Cerro De Almodovar 9;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Parque Cuña Verde;Instalación deportiva;Avenida Daroca 300;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Parque Darwin;Instalación deportiva;Avenida Moratalaz 93;Plaza del Encuentro;Calle Arroyo de las Pilillas nº 6
Instalación Deportiva Municipal Básica Parque Deportivo Doctor García Tapia 1;Instalación deportiva;Calle Carmen Amaya 3 Posterior;Camino Vinateros;Calle Camino de los Vinateros nº 28
Instalación Deportiva Municipal Básica Parque Deportivo Doctor García Tapia 2;Instalación deportiva;Calle Carmen Amaya 1 Posterior;Camino Vinateros;Calle Camino de los Vinateros nº 28
Instalación Deportiva Municipal Básica Parque Doña Guiomar I - Sporting de Hortaleza;Instalación deportiva;Calle Monovar 8;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Parque Doña Guiomar II;Instalación deportiva;Carretera Estacion De Hortaleza 7;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Parque Doña Guiomar III;Instalación deportiva;Calle Monóvar 4;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Parque El Calero;Instalación deportiva;Calle Virgen De Nuria S/N;Avenida Donostiarra;Calle Virgen de la Alegría nº 18
Instalación Deportiva Municipal Básica Parque Estafeta;Instalación deportiva;Calle Estafeta 4;Embajadores 191;Calle Sodio nº 1B
Instalación Deportiva Municipal Básica Parque Eugenia de Montijo;Instalación deportiva;Calle Parque Eugenia De Montijo S/N;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque Gabriela Mistral;Instalación deportiva;Calle Rosalia De Castro 69;Facultad Derecho;Avenida Complutense nº 23
Instalación Deportiva Municipal Básica Parque General García Escámez;Instalación deportiva;Calle Anselmo Lorenzo  Jardines Gral. García Escámez;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque Huerta de la Salud;Instalación deportiva;Calle Mar De Las Antillas 10;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Parque Huerta del Obispo;Instalación deportiva;Calle Juan Peñalver 34 C/V Calle Palomares;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Parque La Viña;Instalación deportiva;Calle Concejo De Teverga 2;Méndez Álvaro;Calle Retama nº 5
Instalación Deportiva Municipal Básica Parque Luis Buñuel;Instalación deportiva;Calle Luis Buñuel 38;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Parque Madrid Sur;Instalación deportiva;Calle La Diligencia 5 Parque Madrid Sur;Concordia;Calle Arroyo del Olivar nº 6
Instalación Deportiva Municipal Básica Parque Manoteras - Vélez Rubio;Instalación deportiva;Inst. Deportiva Basica Bacares 20;Chamartín;Calle Rodríguez Jaén nº 40
Instalación Deportiva Municipal Básica Parque Manuel Azaña;Instalación deportiva;Calle Virgen De La Paz 7 Y 9;Puente de Ventas;Avenida de Daroca nº 2
Instalación Deportiva Municipal Básica Parque Marchamalo;Instalación deportiva;Parque Marchamalo ;Plaza del Encuentro;Calle Arroyo de las Pilillas nº 6
Instalación Deportiva Municipal Básica Parque Martala I;Instalación deportiva;Calle Pico De Los Artilleros 5;Marroquina;Calle Camino de los Vinateros nº 108
Instalación Deportiva Municipal Básica Parque Martala II;Instalación deportiva;Calle Pico De Los Artilleros 21 Posterior;Marroquina;Calle Camino de los Vinateros nº 108
Instalación Deportiva Municipal Básica Parque Meseta;Instalación deportiva;Ronda Cooperativas 6;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Parque Norte;Instalación deportiva;Calle Arzobispo Morcillo 9 C/V Frómista;Manuel Caldeiro;Paseo de la Castellana nº 298
Instalación Deportiva Municipal Básica Parque Olof Palme;Instalación deportiva;Calle Cerecinos 4 Parque Olof Palme;San Delfín;Calle San Delfín nº 9
Instalación Deportiva Municipal Básica Parque Plata y Castañar;Instalación deportiva;Paseo Los Ferroviarios S/N;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Parque Pradolongo;Instalación deportiva;Parque Pradolongo  Rafaela Ybarra, Cristo De La Victoria, Los Poblados;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Parque Rafael Finat;Instalación deportiva;Calle Damasquillo S/N;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque San Blas;Instalación deportiva;Calle Albaida S/N Avda. Arcentales, Alberique Y Ajofrín;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Instalación Deportiva Municipal Básica Parque San Luciano;Instalación deportiva;Calle San Luciano 12;Glorieta de Cádiz;Calle Antonio López nº 129
Instalación Deportiva Municipal Básica Parque Santa Adela;Instalación deportiva;Calle Santa Adela 14;Pío XII;Avenida Pío XII nº 3
Instalación Deportiva Municipal Básica Parque Sector Surbatán;Instalación deportiva;Calle Sepulveda 99;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque Supermanzana 7;Instalación deportiva;Calle Fermin Caballero 25;Pedro Rico;Calle Pedro Rico nº 4
Instalación Deportiva Municipal Básica Parque Tanatorio (Salvador Madariaga);Instalación deportiva;Calle Salvador De Madariaga ;Derechos Humanos;Calle Derechos Humanos nº 12
Instalación Deportiva Municipal Básica Parque Z;Instalación deportiva;Calle Marroquina 88 Posterior - Parque De Moratalaz;Marroquina;Calle Camino de los Vinateros nº 108
Instalación Deportiva Municipal Básica Parque de Atenas;Instalación deportiva;Paseo Virgen Del Puerto 3;Segovia 45;Calle Segovia nº 45
Instalación Deportiva Municipal Básica Parque de Berlín;Instalación deportiva;Calle Marcenado 49;Parque Berlín;Avenida de Concha Espina nº 34
Instalación Deportiva Municipal Básica Parque de Comillas;Instalación deportiva;Calle Antonio De Leyva 35;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Instalación Deportiva Municipal Básica Parque de Roma I;Instalación deportiva;Calle Juan Esplandiu 4;Parque Roma;Calle Alcalde Sáinz de Baranda frente al nº 107
Instalación Deportiva Municipal Básica Parque de Roma III;Instalación deportiva;Calle Alcalde Sainz De Baranda 90;Parque Roma;Calle Alcalde Sáinz de Baranda frente al nº 107
Instalación Deportiva Municipal Básica Parque de San Isidro - Gorrión;Instalación deportiva;Calle Gorrion 36;Ermita Santo;Paseo de la Ermita del Santo nº 48
Instalación Deportiva Municipal Básica Parque de San Isidro - Vicente Quesada;Instalación deportiva;Calle Vicente Quesada Parque De San Isidro;Ermita Santo;Paseo de la Ermita del Santo nº 48
Instalación Deportiva Municipal Básica Parque de Skateboard Ignacio Echeverría;Instalación deportiva;Paseo Chopera 4;Entrada Matadero;Paseo de la Chopera nº 14
Instalación Deportiva Municipal Básica Parque de Villa Rosa;Instalación deportiva;Calle El Pedernoso 19;Carlota O’Neill;Calle Carlota O'Neill nº 32
Instalación Deportiva Municipal Básica Parque de la Alcazaba;Instalación deportiva;Avenida El Ferrol 1;Remonta;Calle Azucenas nº 1
Instalación Deportiva Municipal Básica Parque de la Cornisa;Instalación deportiva;Calle Rosario 5;Plaza de San Francisco;Plaza de San Francisco nº 5
Instalación Deportiva Municipal Básica Parque de la Ventilla;Instalación deportiva;Calle Via Limite 101;Torre Cepsa;Calle Sinesio Delgado nº 2
Instalación Deportiva Municipal Básica Parque de la Vicalvarada;Instalación deportiva;Calle Vereda Del Pinar 1;Pavones;Calle Hacienda de Pavones nº 342
Instalación Deportiva Municipal Básica Parque de las Cruces;Instalación deportiva;Avenida Poblados S/N;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque de las Cruces I;Instalación deportiva;Calle Rompedizo 15;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque de las Cruces II;Instalación deportiva;Calle Vidauba 3;Caramuel;Calle Caramuel nº 51
Instalación Deportiva Municipal Básica Parque de los Carneros;Instalación deportiva;Calle Baja De La Iglesia 36 Frente A La Iglesia;Facultad Derecho;Avenida Complutense nº 23
